"","X","SNo","Date","StartupName","IndustryVertical","SubVertical","CityLocation","InvestorsName","InvestmentType","AmountInUSD","Remarks","New_Date","dd","mm","yyyy","mmyyyy","New_Date","dd","mm","yyyy","mmyyyy"
"44",72,4820,"12/06/2017","Vista Rooms","Consumer Internet","Online rooms aggregation platform","Mumbai","Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham","Seed Funding",776000,"","12/06/2017",12,6,2017,"06-2017","12/06/2017","12","06","2017","06-2017"
"45",73,4821,"12/06/2017","CoverFox","Consumer Internet","Online insurance brokerage platform","Mumbai","Transamerica","Private Equity",15000000,"","12/06/2017",12,6,2017,"06-2017","12/06/2017","12","06","2017","06-2017"
"46",75,4822,"13/06/2017","Goodera","Technology","CSR and sustainability management platform","Bangalore","Nexus Venture Partners, Omidyar Network","Private Equity",5500000,"","13/06/2017",13,6,2017,"06-2017","13/06/2017","13","06","2017","06-2017"
"47",77,4823,"14/06/2017","Ola","Consumer Internet","Cab Aggregation App","Bangalore","Tekne Capital Management LLC","Private Equity",50000000,"","14/06/2017",14,6,2017,"06-2017","14/06/2017","14","06","2017","06-2017"
"48",79,4824,"14/06/2017","MrNeeds","Consumer Internet","Micro Food Delivery platform","Noida","undisclosed investors","Seed Funding",500000,"","14/06/2017",14,6,2017,"06-2017","14/06/2017","14","06","2017","06-2017"
"49",80,4825,"15/06/2017","MoneyTap","Consumer Internet","Money Lending platform","Bangalore","Sequoia India, NEA, Prime Venture Partners","Private Equity",12300000,"","15/06/2017",15,6,2017,"06-2017","15/06/2017","15","06","2017","06-2017"
"50",81,4826,"16/06/2017","Goodbox","eCommerce","Mobile SAAS  ECommerce platform for SMEs","Bangalore","Nexus Venture Partners, Mekin Maheshwari","Private Equity",1000000,"","16/06/2017",16,6,2017,"06-2017","16/06/2017","16","06","2017","06-2017"
"51",82,4827,"16/06/2017","Fincash","Consumer Internet","Personal Finance platform","Mumbai","Mohammed Khan, Sameer Narayan & Others","Seed Funding",100000,"","16/06/2017",16,6,2017,"06-2017","16/06/2017","16","06","2017","06-2017"
"52",83,4828,"16/06/2017","PortDesk","Technology","Maritime Solutions","Noida","Alphard Maritime Group","Seed Funding",2000000,"","16/06/2017",16,6,2017,"06-2017","16/06/2017","16","06","2017","06-2017"
"53",87,4829,"19/06/2017","Unbxd","Technology","Cloud-based product discovery platform","Bangalore","Eight Roads Ventures","Private Equity",12500000,"","19/06/2017",19,6,2017,"06-2017","19/06/2017","19","06","2017","06-2017"
"54",88,4830,"19/06/2017","DarwinBox","Technology","Enterprise human resources management platform","Hyderabad","Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP","Private Equity",4000000,"","19/06/2017",19,6,2017,"06-2017","19/06/2017","19","06","2017","06-2017"
"55",89,4831,"20/06/2017","ForeverShop","Consumer Internet","Mobile based ecommerce platform","Bangalore","91maker.com","Seed Funding",300000,"","20/06/2017",20,6,2017,"06-2017","20/06/2017","20","06","2017","06-2017"
"56",90,4832,"20/06/2017","Insider.in","Consumer Internet","Events Ticketing platform","Mumbai","Paytm","Private Equity",5200000,"","20/06/2017",20,6,2017,"06-2017","20/06/2017","20","06","2017","06-2017"
"57",91,4833,"21/06/2017","Fynd","eCommerce","Fashion etailer","Mumbai","IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital","Private Equity",2400000,"","21/06/2017",21,6,2017,"06-2017","21/06/2017","21","06","2017","06-2017"
"58",92,4834,"21/06/2017","Grow Fit","Consumer Internet","Health-Tech platform","Bangalore","Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust","Private Equity",4500000,"","21/06/2017",21,6,2017,"06-2017","21/06/2017","21","06","2017","06-2017"
"59",93,4835,"21/06/2017","Fabulyst","Technology","Artificial Intelligence based platform","Hyderabad","iBhubs","Seed Funding",215000,"","21/06/2017",21,6,2017,"06-2017","21/06/2017","21","06","2017","06-2017"
"60",94,4836,"21/06/2017","mSwipe","Technology","Point-of-Sale services","Mumbai","UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners","Private Equity",31000000,"","21/06/2017",21,6,2017,"06-2017","21/06/2017","21","06","2017","06-2017"
"61",96,4837,"22/06/2017","Julia Computing","Technology","Open Source Language for Data Science and Machine Learning","Bangalore","General Catalyst, Founder Collective","Private Equity",4600000,"","22/06/2017",22,6,2017,"06-2017","22/06/2017","22","06","2017","06-2017"
"62",97,4838,"22/06/2017","Kissht","Consumer Internet","Consumer Lending platform","Mumbai","Endiya Partners, Ventureast","Private Equity",2000000,"","22/06/2017",22,6,2017,"06-2017","22/06/2017","22","06","2017","06-2017"
"63",98,4839,"22/06/2017","Explore Life traveling","Consumer Internet","Local homes booking platform","Bangalore","Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere","Seed Funding",500000,"","22/06/2017",22,6,2017,"06-2017","22/06/2017","22","06","2017","06-2017"
"64",99,4840,"23/06/2017","Loantap","Consumer Internet","Lending platform for salaried professionals","Mumbai","Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd","Private Equity",4000000,"","23/06/2017",23,6,2017,"06-2017","23/06/2017","23","06","2017","06-2017"
"65",100,4841,"23/06/2017","Voxweb","Consumer Internet","Mobile based social networking platform","Mumbai","Undisclosed investors","Seed Funding",1000000,"","23/06/2017",23,6,2017,"06-2017","23/06/2017","23","06","2017","06-2017"
"66",101,4842,"26/06/2017","HUG Innovations","Technology","Gesture based  Smartwatch manufacturer","Hyderabad","Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon","Private Equity",5000000,"","26/06/2017",26,6,2017,"06-2017","26/06/2017","26","06","2017","06-2017"
"67",102,4843,"26/06/2017","Flipkart","eCommerce","Online marketplace","Bangalore","Naspers","Private Equity",71000000,"","26/06/2017",26,6,2017,"06-2017","26/06/2017","26","06","2017","06-2017"
"68",103,4844,"26/06/2017","V Resorts","Consumer Internet","Holiday & Vacation resort aggregator","Noida","Seedfund, RB International","Private Equity",4000000,"","26/06/2017",26,6,2017,"06-2017","26/06/2017","26","06","2017","06-2017"
"69",104,4845,"27/06/2017","Stashfin","Consumer Internet","Personal Finance App","New Delhi","Snow Leopard Ventures, Alto Partners","Private Equity",5000000,"","27/06/2017",27,6,2017,"06-2017","27/06/2017","27","06","2017","06-2017"
"70",106,4846,"27/06/2017","Spares Hub","eCommerce","Automobile parts marketplace","Pune","The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting","Seed Funding",311000,"","27/06/2017",27,6,2017,"06-2017","27/06/2017","27","06","2017","06-2017"
"71",108,4847,"28/06/2017","Rubique","Consumer Internet","Online Marketplace for financial products","Mumbai","Kalaari Capital, Udayan Goyal","Private Equity",3000000,"","28/06/2017",28,6,2017,"06-2017","28/06/2017","28","06","2017","06-2017"
"72",109,4848,"28/06/2017","Niki.ai","Consumer Internet","AI Based Personal Assistant","Bangalore","SAP.iO, Unilazer Ventures","Private Equity",2000000,"","28/06/2017",28,6,2017,"06-2017","28/06/2017","28","06","2017","06-2017"
"73",110,4849,"29/06/2017","Fitpass","Consumer Internet","Online Fitness Marketplace","New Delhi","Abhinav Bindra, Gaurav Marya","Private Equity",1000000,"","29/06/2017",29,6,2017,"06-2017","29/06/2017","29","06","2017","06-2017"
"74",112,4850,"30/06/2017","Tagos Design","Technology","in-video discovery platform","Bangalore","Undisclosed Investors","Private Equity",5000000,"","30/06/2017",30,6,2017,"06-2017","30/06/2017","30","06","2017","06-2017"
"75",113,4851,"30/06/2017","UrbanClap","Consumer Internet","Mobile Services Marketplace","Gurgaon","Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners","Private Equity",21000000,"","30/06/2017",30,6,2017,"06-2017","30/06/2017","30","06","2017","06-2017"
"76",114,4852,"01/05/2017","Ace2three","Consumer Internet","Online Rummy playing Website","Hyderabad","Clairvest Group","Private Equity",73700000,"","01/05/2017",1,5,2017,"05-2017","01/05/2017","01","05","2017","05-2017"
"77",115,4853,"01/05/2017","Power2SME","eCommerce","Buying portal for SMEs","Gurgaon","International Finance Corporation","Private Equity",10000000,"","01/05/2017",1,5,2017,"05-2017","01/05/2017","01","05","2017","05-2017"
"78",116,4854,"02/05/2017","Innovapptive","Technology","Enterprise Mobility Solutions","Hyderabad","Hyderabad Angels","Seed Funding",1500000,"","02/05/2017",2,5,2017,"05-2017","02/05/2017","02","05","2017","05-2017"
"79",117,4855,"02/05/2017","4tigo","Logistics","Truck Network company","Bangalore","Accel Partners, Nandan Nilekani,","Private Equity",10000000,"","02/05/2017",2,5,2017,"05-2017","02/05/2017","02","05","2017","05-2017"
"80",119,4856,"02/05/2017","ZippServe","Consumer Internet","Real estate risk assessment platform","Bangalore","undisclosed investors","Seed Funding",390000,"","02/05/2017",2,5,2017,"05-2017","02/05/2017","02","05","2017","05-2017"
"81",120,4857,"03/05/2017","Ola","Consumer Internet","Cab Aggregation App","Bangalore","Falcon Edge Capital,  Capital Advisers","Private Equity",104500000,"","03/05/2017",3,5,2017,"05-2017","03/05/2017","03","05","2017","05-2017"
"82",121,4858,"03/05/2017","Sumeru","Technology","Software & Mobile development services","Bangalore","undisclosed investors","Seed Funding",1000000,"","03/05/2017",3,5,2017,"05-2017","03/05/2017","03","05","2017","05-2017"
"83",127,4859,"05/05/2017","Balance App","Consumer Internet","Money Savings & Management App","Bangalore","Rainmatter","Seed Funding",233000,"","05/05/2017",5,5,2017,"05-2017","05/05/2017","05","05","2017","05-2017"
"84",128,4860,"08/05/2017","YepMe","eCommerce","Private Label Fashion etailer","Gurgaon","Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.","Private Equity",700000,"","08/05/2017",8,5,2017,"05-2017","08/05/2017","08","05","2017","05-2017"
"85",131,4861,"08/05/2017","MyGreens","Food & Beverage","Cold-press Juices manufacturer","New Delhi","Ajay Relan, LetsVenture","Seed Funding",1000000,"","08/05/2017",8,5,2017,"05-2017","08/05/2017","08","05","2017","05-2017"
"86",132,4862,"08/05/2017","Ace Turtle","Technology","Omni-Channel Platform","Bangalore","Vertex Ventures, C31 Ventures","Private Equity",5000000,"","08/05/2017",8,5,2017,"05-2017","08/05/2017","08","05","2017","05-2017"
"87",133,4863,"08/05/2017","CureFit","Technology","Health-Tech Platform","Bangalore","RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others","Private Equity",3000000,"","08/05/2017",8,5,2017,"05-2017","08/05/2017","08","05","2017","05-2017"
"88",134,4864,"09/05/2017","Curie Labs","Technology","Energy Analytics startup","New Delhi","Satoshi Studios","Seed Funding",50000,"","09/05/2017",9,5,2017,"05-2017","09/05/2017","09","05","2017","05-2017"
"89",139,4865,"10/05/2017","Vidooly","Consumer Internet","Video Intelligence platform","Noida","Times Internet, GVFL","Private Equity",1400000,"","10/05/2017",10,5,2017,"05-2017","10/05/2017","10","05","2017","05-2017"
"90",140,4866,"10/05/2017","Shopclues","eCommerce","Online marketplace","Gurgaon","InnoVen Capital","Private Equity",7700000,"","10/05/2017",10,5,2017,"05-2017","10/05/2017","10","05","2017","05-2017"
"91",141,4867,"10/05/2017","Fourth Ambit","Consumer Internet","Community Building platform","Bangalore","1Crowd","Seed Funding",600000,"","10/05/2017",10,5,2017,"05-2017","10/05/2017","10","05","2017","05-2017"
"92",143,4868,"11/05/2017","Early Salary","Consumer Internet","Online lending platform","Pune","DG Ventures India, Dewan Housing Finance Corp","Private Equity",4000000,"","11/05/2017",11,5,2017,"05-2017","11/05/2017","11","05","2017","05-2017"
"93",146,4869,"12/05/2017","Legal Raasta","Consumer Internet","Legal Services to SMEs & Individuals","New Delhi","Impanix Capital","Private Equity",5000000,"","12/05/2017",12,5,2017,"05-2017","12/05/2017","12","05","2017","05-2017"
"94",148,4870,"12/05/2017","Remit Guru","Consumer Internet","Digital money transfer platform","Mumbai","Infibeam, CCavenue","Private Equity",466000,"","12/05/2017",12,5,2017,"05-2017","12/05/2017","12","05","2017","05-2017"
"95",149,4871,"12/05/2017","Aequm","eCommerce","Cloud ECommerce platform","Bangalore","undisclosed investors","Seed Funding",1000000,"","12/05/2017",12,5,2017,"05-2017","12/05/2017","12","05","2017","05-2017"
"96",150,4872,"15/05/2017","Zapty","Technology","Project Management tool","Bangalore","IdeaSpring Capital","Seed Funding",500000,"","15/05/2017",15,5,2017,"05-2017","15/05/2017","15","05","2017","05-2017"
"97",153,4873,"16/05/2017","Telr","Technology","Online Payment Gateway","Mumbai","Innovations East","Private Equity",3000000,"","16/05/2017",16,5,2017,"05-2017","16/05/2017","16","05","2017","05-2017"
"98",154,4874,"16/05/2017","Fynd","eCommerce","Fashion ECommerce Portal","Mumbai","Rocketship","Private Equity",500000,"","16/05/2017",16,5,2017,"05-2017","16/05/2017","16","05","2017","05-2017"
"99",155,4875,"17/05/2017","Genie","Consumer Internet","hyperlocal delivery and logistics mobile app","Chennai","undisclosed investors","Seed Funding",250000,"","17/05/2017",17,5,2017,"05-2017","17/05/2017","17","05","2017","05-2017"
"100",156,4876,"17/05/2017","Paysense","Consumer Internet","Online Lending platform","Mumbai","Jungle Ventures","Private Equity",5300000,"","17/05/2017",17,5,2017,"05-2017","17/05/2017","17","05","2017","05-2017"
"101",157,4877,"18/05/2017","The Good Life","ECommerce","Online Luxury Tea etailer","Mumbai","Ayesha Takia Azmi, Abu Farhan Azmi","Seed Funding",1000000,"","18/05/2017",18,5,2017,"05-2017","18/05/2017","18","05","2017","05-2017"
